"year","fips","acs_median_rent_estimate","acs_median_rent_percent_household_income_estimate","acs_median_rent_moe","acs_median_rent_percent_household_income_moe"
2009,"48127",478,29.3,27,7.6
2009,"08109",576,27.8,71,3
2009,"19113",611,26,16,1
2009,"28041",530,28.9,51,10.1
2009,"21131",398,31.2,50,20.4
2009,"47095",365,30.5,90,3.5
2009,"12085",992,32.6,26,1.6
2009,"48379",575,22.8,68,4.8
2009,"49035",795,28.4,6,0.4
2009,"17093",1027,28.2,62,2.5
2009,"21159",413,33.1,36,11.1
2009,"37005",508,31,69,8.5
2009,"13155",525,24.5,76,16.7
2009,"48463",694,28.7,80,7.9
2009,"48315",515,26.9,98,4.5
2009,"31009",306,16.6,189,5
2009,"26095",559,39.8,95,11.5
2009,"23003",481,28.9,12,0.8
2009,"40071",567,26.8,19,1.9
2009,"41021",727,28.4,115,6.9
2009,"48149",601,22.8,104,1.8
2009,"19135",531,31.4,75,4.1
2009,"45055",613,28.5,36,4.2
2009,"48281",716,28.3,90,1.7
2009,"45047",581,28,19,3.1
2009,"54051",463,28.2,27,2.6
2009,"48481",572,28.8,33,4.8
2009,"37107",605,32.7,18,1.7
2009,"40145",676,27.4,24,3.9
2009,"39029",553,29.6,19,1.7
2009,"36121",624,28,24,1.8
2009,"20189",618,27.3,45,3.5
2009,"13029",940,31.2,108,3.6
2009,"20031",479,24.1,54,7.1
2009,"32510",895,30,33,1.7
2009,"12087",1190,34.4,63,1.4
2009,"26063",501,30.7,40,2.9
2009,"46011",552,31.4,48,6.2
2009,"39033",607,25.4,23,1.9
2009,"30063",683,33.8,20,2.4
2009,"21081",660,27.4,36,3.3
2009,"53003",601,30.2,38,2.5
2009,"20039",417,27,25,2.6
2009,"26051",525,33.4,71,3.9
2009,"46105",387,19.3,144,1.7
2009,"13079",610,39.2,123,16.3
2009,"47185",513,27.8,28,2.6
2009,"02198",668,21.4,101,2.9
2009,"12091",914,28.8,21,1
2009,"42099",589,23.2,19,1.6
2009,"45015",806,26.9,22,1.4
2009,"17073",588,25.7,29,1.7
2009,"56011",574,19.7,39,10.5
2009,"39171",595,25.6,27,2.6
2009,"22005",697,27.9,46,4.8
2009,"08093",1139,28.9,203,13.7
2009,"48029",739,29.5,5,0.4
2009,"49029",588,15.1,210,4.3
2009,"02090",946,27.6,44,1.7
2009,"01067",495,38.2,69,8.4
2009,"48131",454,27.8,120,6.6
2009,"01107",409,30,63,4.1
2009,"29165",790,25,23,1.1
2009,"28083",443,34.1,22,3
2009,"49037",579,23.8,55,2.7
2009,"47133",451,28.4,33,4.8
2009,"18081",763,26.9,21,1.5
2009,"17119",681,29.6,13,1.2
2009,"13121",913,29.8,8,0.5
2009,"01061",483,27.8,43,3.4
2009,"26013",442,23.9,59,2.9
2009,"25021",1193,29.1,18,0.5
2009,"28005",550,38.2,138,3.8
2009,"39049",751,28.9,5,0.4
2009,"13081",553,33.9,33,3
2009,"49015",545,19.5,26,4.4
2009,"40037",611,25.7,29,1.5
2009,"51740",856,32.3,23,1.4
2009,"53065",572,27.4,15,1.9
2009,"40113",525,26.8,53,1.6
2009,"48365",555,23.9,42,2.2
2009,"08125",518,24.1,45,2.5
2009,"46069",403,23.4,35,3.3
2009,"19189",455,19.1,32,1.7
2009,"13051",847,32.6,13,0.9
2009,"32015",638,36.3,101,19
2009,"37019",757,29.3,28,2.2
2009,"20139",533,24.8,35,2.9
2009,"16029",511,14.9,39,7.2
2009,"42117",561,29,16,1.8
2009,"55031",596,26.6,24,1.9
2009,"38053",460,26.6,41,7.1
2009,"18117",549,30.7,64,3.6
2009,"16075",560,27.9,51,2.9
2009,"20145",524,19.9,45,5.2
2009,"31089",433,22.9,25,1.8
2009,"28039",488,26,76,5.4
2009,"51580",611,26.5,81,3.7
2009,"31085",902,26.1,700,2.4
2009,"36087",1218,33.6,26,1.4
2009,"26005",640,27.7,15,1.9
2009,"26157",575,28.9,28,1.7
2009,"27111",513,29.2,20,2.1
2009,"19099",584,28.8,37,3.6
2009,"40087",575,27.8,79,3.8
2009,"48491",954,28.1,15,0.8
2009,"34013",950,30.6,8,0.5
2009,"12127",858,35,12,1
2009,"26135",502,36,39,6.4
2009,"31025",662,21.6,50,1.8
2009,"22013",419,34.1,63,7.1
2009,"13165",444,23.9,87,4.2
2009,"05141",479,29.7,42,2.9
2009,"28157",452,23.7,81,4.3
2009,"45069",486,29.8,44,4.5
2009,"28009",533,22.5,22,4
2009,"17087",482,25.8,80,3
2009,"13107",437,27.4,34,2.9
2009,"47121",562,24.1,57,10.6
2009,"13209",474,30.5,24,6.6
2009,"51620",679,36.7,27,4.7
2009,"22037",499,30,61,5.9
2009,"12027",686,23.9,45,2.4
2009,"48371",478,23.5,56,2.5
2009,"01093",367,25,42,2.2
2009,"22003",505,27.1,41,2.7
2009,"28113",532,33.2,34,2.8
2009,"22021",415,20.9,38,5.6
2009,"05011",492,39.8,96,9.2
2009,"35019",471,16.9,252,8.7
2009,"20201",365,18.7,22,1.5
2009,"05031",591,28.5,16,2.1
2009,"55037",422,29.8,58,7.5
2009,"40051",542,23.8,19,2.3
2009,"26141",456,27.3,85,2.5
2009,"26097",548,31.4,41,3.8
2009,"21145",535,28.4,12,1.8
2009,"13285",630,29.7,23,2.1
2009,"51155",517,24.8,21,3.6
2009,"51800",782,31.2,41,2.4
2009,"18065",584,29.9,29,2.7
2009,"50013",819,29,49,1.7
2009,"20067",379,20.8,139,8.8
2009,"37053",761,31.3,78,4.7
2009,"51163",591,34,32,10.2
2009,"51036",743,22.4,80,1.9
2009,"39083",645,27.7,37,2.6
2009,"17035",515,23.6,50,3.5
2009,"13179",762,28,22,1.4
2009,"47131",499,24.5,21,2.1
2009,"51057",709,26.9,56,2.3
2009,"13255",753,33.9,25,2.6
2009,"05055",550,28.7,16,3.1
2009,"32009",421,17.2,120,11.3
2009,"29013",607,31,69,3.1
2009,"48057",632,22.7,45,3.3
2009,"17101",461,26.8,27,3.7
2009,"47033",520,23.6,42,2.3
2009,"42107",523,24.7,12,1
2009,"17027",606,23.4,31,1.5
2009,"50023",761,28,29,1.2
2009,"29113",655,28.3,47,2
2009,"02060",1017,22.4,164,2.7
2009,"47147",672,27.3,32,1.6
2009,"27127",504,28.3,51,2.4
2009,"53077",626,28.9,13,1
2009,"48397",1183,27.8,66,1.6
2009,"06019",801,32.8,8,0.5
2009,"13257",548,32.5,34,3.1
2009,"01085",539,33,55,6.9
2009,"51590",556,30.7,30,2.7
2009,"35006",450,22.1,83,3
2009,"28095",485,31.9,26,4.2
2009,"30045",446,21.6,99,8.6
2009,"30035",482,20,43,4
2009,"30039",542,27.7,150,8.9
2009,"47097",537,29.8,34,3.3
2009,"30011",391,25.3,196,8.7
2009,"48439",810,28.8,6,0.4
2009,"16023",431,23.1,34,1.5
2009,"17055",516,27.1,21,3.1
2009,"29093",458,32,25,5.4
2009,"28025",554,30.2,65,3.5
2009,"22025",438,21.6,106,5.4
2009,"22085",428,29.9,15,3.3
2009,"22081",390,27.3,43,2.9
2009,"13189",576,29.8,30,4.8
2009,"49031",538,19.5,157,12.2
2009,"40001",444,28,34,3
2009,"13161",383,23.7,25,3.6
2009,"27155",387,31.5,32,3.2
2009,"38063",369,23.4,21,4.7
2009,"48469",681,28.7,22,2
2009,"18119",573,25.4,31,2.7
2009,"56017",513,25.3,78,5.1
2009,"41007",705,31.1,24,1.7
2009,"04027",708,30.8,28,1.6
2009,"48291",677,27.2,19,4.1
2009,"31083",442,22.5,42,2
2009,"49027",537,29.3,95,5.2
2009,"28145",528,29,31,3.4
2009,"54107",557,32,14,2.7
2009,"48357",558,22.1,69,6.5
2009,"19131",462,23.3,48,4.9
2009,"31053",599,26.5,26,2
2009,"26149",577,28.6,20,1.4
2009,"16083",625,24.4,25,1
2009,"39167",554,31.4,23,2.4
2009,"06101",852,30.8,32,2.1
2009,"53043",574,26.6,59,3.8
2009,"17183",578,29.6,17,1.6
2009,"48105",495,16.3,56,3.5
2009,"45071",585,32,51,5.5
2009,"28071",697,34.6,34,4.8
2009,"48055",668,29,55,5.8
2009,"20001",467,24.3,39,4.5
2009,"13153",733,27.2,17,1.6
2009,"39157",574,26.1,16,1.6
2009,"27023",497,25.9,62,2.6
2009,"26103",542,33.4,16,2
2009,"48355",769,32.4,14,1.2
2009,"19193",599,29,20,1.6
2009,"09003",881,29.7,8,0.4
2009,"26099",738,29.1,9,0.6
2009,"08039",867,31.2,100,4.8
2009,"46127",676,21.9,40,2.1
2009,"39095",623,31.2,10,1
2009,"17167",650,29.1,13,1
2009,"47065",652,28.5,10,0.9
2009,"13023",513,23.9,102,6.8
2009,"37083",582,35.3,18,3.4
2009,"24003",1248,29,20,0.7
2009,"48113",809,29.6,5,0.3
2009,"51145",858,29.1,127,5.1
2009,"04023",635,29.8,28,2.7
2009,"29081",479,25.6,37,2.5
2009,"34035",1252,29.3,28,1
2009,"21053",354,25.2,55,3.7
2009,"29155",469,32.2,28,3.2
2009,"30003",492,28.7,32,6.2
2009,"28135",453,29.4,85,9.2
2009,"06079",1097,37.2,21,1.5
2009,"31173",487,21.4,41,4.6
2009,"31149",558,23.5,57,4.2
2009,"13009",640,30.3,28,3.7
2009,"26161",855,36,10,1.4
2009,"20021",520,31.1,27,3.8
2009,"45033",494,30.8,31,3.5
2009,"06063",759,29.1,137,3.4
2009,"48195",611,27.5,118,13.4
2009,"39081",531,30.6,18,1.9
2009,"48479",669,33.4,16,1.7
2009,"37069",648,29.9,31,3.6
2009,"20025",466,24.3,68,13.1
2009,"31147",452,23.4,54,3.6
2009,"40097",536,26.8,27,1.5
2009,"05045",652,30.2,18,2.1
2009,"39125",507,24.8,40,3.2
2009,"18067",635,28.4,26,1.6
2009,"05131",566,28.8,16,1.2
2009,"29031",566,27.4,16,1.6
2009,"05051",633,31.5,19,1.7
2009,"13217",864,35.6,25,3.3
2009,"19069",498,19.1,48,4.8
2009,"36015",637,31.8,20,1.7
2009,"27119",500,30.1,35,2.7
2009,"41071",765,29.4,33,1.4
2009,"24045",903,29.6,26,1.7
2009,"27011",472,25.9,89,8.4
2009,"40047",596,25.6,16,1.9
2009,"18031",578,25.2,41,2.1
2009,"54081",507,25.3,22,2.2
2009,"26061",525,36.2,17,3.2
2009,"54035",529,26.8,27,3
2009,"54077",452,24.7,45,4.2
2009,"45025",513,27,23,3.4
2009,"26011",511,31.5,41,2.2
2009,"47143",533,32.7,39,5.5
2009,"29017",528,30.2,29,4.6
2009,"53047",540,29.2,22,2.3
2009,"08047",957,45.3,87,11.1
2009,"01003",788,29.6,17,1.5
2009,"48141",592,31,7,0.7
2009,"48187",765,28,31,1.6
2009,"39135",659,26.1,25,2
2009,"17001",533,27.1,21,1.1
2009,"17019",721,37.5,16,1.8
2009,"13177",719,19.7,32,2.7
2009,"20161",721,35.8,25,2.7
2009,"01117",807,25.8,19,1.5
2009,"06017",1062,31.7,37,1.7
2009,"39093",654,29.8,17,1.1
