"year","state_fips","acs_occupation_universe_estimate","acs_occupation_male_total_estimate","acs_occupation_male_for_profit_worker_estimate","acs_occupation_male_for_profit_worker_employee_estimate","acs_occupation_male_for_profit_worker_self_employed_estimate","acs_occupation_male_nonprofit_worker_estimate","acs_occupation_male_local_govt_worker_estimate","acs_occupation_male_state_govt_worker_estimate","acs_occupation_male_fed_govt_worker_estimate","acs_occupation_male_self_employed_not_incorporated_estimate","acs_occupation_male_unpaid_family_worker_estimate","acs_occupation_female_total_estimate","acs_occupation_female_for_profit_worker_estimate","acs_occupation_female_for_profit_worker_employee_estimate","acs_occupation_female_for_profit_worker_self_employed_estimate","acs_occupation_female_nonprofit_worker_estimate","acs_occupation_female_local_govt_worker_estimate","acs_occupation_female_state_govt_worker_estimate","acs_occupation_female_fed_govt_worker_estimate","acs_occupation_female_self_employed_not_incorporated_estimate","acs_occupation_female_unpaid_family_worker_estimate","acs_occupation_universe_moe","acs_occupation_male_total_moe","acs_occupation_male_for_profit_worker_moe","acs_occupation_male_for_profit_worker_employee_moe","acs_occupation_male_for_profit_worker_self_employed_moe","acs_occupation_male_nonprofit_worker_moe","acs_occupation_male_local_govt_worker_moe","acs_occupation_male_state_govt_worker_moe","acs_occupation_male_fed_govt_worker_moe","acs_occupation_male_self_employed_not_incorporated_moe","acs_occupation_male_unpaid_family_worker_moe","acs_occupation_female_total_moe","acs_occupation_female_for_profit_worker_moe","acs_occupation_female_for_profit_worker_employee_moe","acs_occupation_female_for_profit_worker_self_employed_moe","acs_occupation_female_nonprofit_worker_moe","acs_occupation_female_local_govt_worker_moe","acs_occupation_female_state_govt_worker_moe","acs_occupation_female_fed_govt_worker_moe","acs_occupation_female_self_employed_not_incorporated_moe","acs_occupation_female_unpaid_family_worker_moe"
1950,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
