"year","state_fips","saipe_5_to_17_in_families_poverty_count","saipe_under_19_poverty_count","saipe_total_poverty_count","saipe_total_poverty_universe","saipe_5_to_17_in_families_poverty_universe","saipe_under_19_poverty_universe","saipe_total_poverty_count_moe","saipe_5_to_17_in_families_poverty_count_moe","saipe_under_19_poverty_count_moe","saipe_total_poverty_rate","saipe_5_to_17_in_families_poverty_rate","saipe_under_19_poverty_rate","saipe_total_poverty_rate_moe","saipe_5_to_17_in_families_poverty_rate_moe","saipe_under_19_poverty_rate_moe","acs_poverty_status_universe_estimate","acs_poverty_status_in_poverty_estimate","acs_poverty_status_not_in_poverty_estimate","acs_poverty_status_white_total_estimate","acs_poverty_status_white_in_poverty_estimate","acs_poverty_status_white_not_in_poverty_estimate","acs_poverty_status_black_total_estimate","acs_poverty_status_black_in_poverty_estimate","acs_poverty_status_black_not_in_poverty_estimate","acs_poverty_status_native_total_estimate","acs_poverty_status_native_in_poverty_estimate","acs_poverty_status_native_not_in_poverty_estimate","acs_poverty_status_asian_total_estimate","acs_poverty_status_asian_in_poverty_estimate","acs_poverty_status_asian_not_in_poverty_estimate","acs_poverty_status_pacific_islander_total_estimate","acs_poverty_status_pacific_islander_in_poverty_estimate","acs_poverty_status_pacific_islander_not_in_poverty_estimate","acs_poverty_status_other_race_total_estimate","acs_poverty_status_other_race_in_poverty_estimate","acs_poverty_status_other_race_not_in_poverty_estimate","acs_poverty_status_multiple_races_total_estimate","acs_poverty_status_multiple_races_in_poverty_estimate","acs_poverty_status_multiple_races_not_in_poverty_estimate","acs_poverty_status_white_not_latine_total_estimate","acs_poverty_status_white_not_latine_in_poverty_estimate","acs_poverty_status_white_not_latine_not_in_poverty_estimate","acs_poverty_status_latine_total_estimate","acs_poverty_status_latine_in_poverty_estimate","acs_poverty_status_latine_not_in_poverty_estimate","acs_poverty_status_universe_moe","acs_poverty_status_in_poverty_moe","acs_poverty_status_not_in_poverty_moe","acs_poverty_status_white_total_moe","acs_poverty_status_white_in_poverty_moe","acs_poverty_status_white_not_in_poverty_moe","acs_poverty_status_black_total_moe","acs_poverty_status_black_in_poverty_moe","acs_poverty_status_black_not_in_poverty_moe","acs_poverty_status_native_total_moe","acs_poverty_status_native_in_poverty_moe","acs_poverty_status_native_not_in_poverty_moe","acs_poverty_status_asian_total_moe","acs_poverty_status_asian_in_poverty_moe","acs_poverty_status_asian_not_in_poverty_moe","acs_poverty_status_pacific_islander_total_moe","acs_poverty_status_pacific_islander_in_poverty_moe","acs_poverty_status_pacific_islander_not_in_poverty_moe","acs_poverty_status_other_race_total_moe","acs_poverty_status_other_race_in_poverty_moe","acs_poverty_status_other_race_not_in_poverty_moe","acs_poverty_status_multiple_races_total_moe","acs_poverty_status_multiple_races_in_poverty_moe","acs_poverty_status_multiple_races_not_in_poverty_moe","acs_poverty_status_white_not_latine_total_moe","acs_poverty_status_white_not_latine_in_poverty_moe","acs_poverty_status_white_not_latine_not_in_poverty_moe","acs_poverty_status_latine_total_moe","acs_poverty_status_latine_in_poverty_moe","acs_poverty_status_latine_not_in_poverty_moe"
1950,"02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
