"year","state_fips","acs_median_rent_estimate","acs_median_rent_percent_household_income_estimate","acs_median_rent_moe","acs_median_rent_percent_household_income_moe"
1950,"02",NA,NA,NA,NA
1950,"01",NA,NA,NA,NA
1950,"05",NA,NA,NA,NA
1950,"04",NA,NA,NA,NA
1950,"06",NA,NA,NA,NA
1950,"08",NA,NA,NA,NA
1950,"09",NA,NA,NA,NA
1950,"11",NA,NA,NA,NA
1950,"10",NA,NA,NA,NA
1950,"12",NA,NA,NA,NA
1950,"13",NA,NA,NA,NA
1950,"15",NA,NA,NA,NA
1950,"19",NA,NA,NA,NA
1950,"16",NA,NA,NA,NA
1950,"17",NA,NA,NA,NA
1950,"18",NA,NA,NA,NA
1950,"20",NA,NA,NA,NA
1950,"21",NA,NA,NA,NA
1950,"22",NA,NA,NA,NA
1950,"25",NA,NA,NA,NA
1950,"24",NA,NA,NA,NA
1950,"23",NA,NA,NA,NA
1950,"26",NA,NA,NA,NA
1950,"27",NA,NA,NA,NA
1950,"29",NA,NA,NA,NA
1950,"28",NA,NA,NA,NA
1950,"30",NA,NA,NA,NA
1950,"37",NA,NA,NA,NA
1950,"38",NA,NA,NA,NA
1950,"31",NA,NA,NA,NA
1950,"33",NA,NA,NA,NA
1950,"34",NA,NA,NA,NA
1950,"35",NA,NA,NA,NA
1950,"32",NA,NA,NA,NA
1950,"36",NA,NA,NA,NA
1950,"39",NA,NA,NA,NA
1950,"40",NA,NA,NA,NA
1950,"41",NA,NA,NA,NA
1950,"42",NA,NA,NA,NA
1950,"44",NA,NA,NA,NA
1950,"45",NA,NA,NA,NA
1950,"46",NA,NA,NA,NA
1950,"47",NA,NA,NA,NA
1950,"48",NA,NA,NA,NA
1950,"49",NA,NA,NA,NA
1950,"51",NA,NA,NA,NA
1950,"50",NA,NA,NA,NA
1950,"53",NA,NA,NA,NA
1950,"55",NA,NA,NA,NA
1950,"54",NA,NA,NA,NA
1950,"56",NA,NA,NA,NA
1955,"02",NA,NA,NA,NA
1955,"01",NA,NA,NA,NA
1955,"05",NA,NA,NA,NA
1955,"04",NA,NA,NA,NA
1955,"06",NA,NA,NA,NA
1955,"08",NA,NA,NA,NA
1955,"09",NA,NA,NA,NA
1955,"11",NA,NA,NA,NA
1955,"10",NA,NA,NA,NA
1955,"12",NA,NA,NA,NA
1955,"13",NA,NA,NA,NA
1955,"15",NA,NA,NA,NA
1955,"19",NA,NA,NA,NA
1955,"16",NA,NA,NA,NA
1955,"17",NA,NA,NA,NA
1955,"18",NA,NA,NA,NA
1955,"20",NA,NA,NA,NA
1955,"21",NA,NA,NA,NA
1955,"22",NA,NA,NA,NA
1955,"25",NA,NA,NA,NA
1955,"24",NA,NA,NA,NA
1955,"23",NA,NA,NA,NA
1955,"26",NA,NA,NA,NA
1955,"27",NA,NA,NA,NA
1955,"29",NA,NA,NA,NA
1955,"28",NA,NA,NA,NA
1955,"30",NA,NA,NA,NA
1955,"37",NA,NA,NA,NA
1955,"38",NA,NA,NA,NA
1955,"31",NA,NA,NA,NA
1955,"33",NA,NA,NA,NA
1955,"34",NA,NA,NA,NA
1955,"35",NA,NA,NA,NA
1955,"32",NA,NA,NA,NA
1955,"36",NA,NA,NA,NA
1955,"39",NA,NA,NA,NA
1955,"40",NA,NA,NA,NA
1955,"41",NA,NA,NA,NA
1955,"42",NA,NA,NA,NA
1955,"44",NA,NA,NA,NA
1955,"45",NA,NA,NA,NA
1955,"46",NA,NA,NA,NA
1955,"47",NA,NA,NA,NA
1955,"48",NA,NA,NA,NA
1955,"49",NA,NA,NA,NA
1955,"51",NA,NA,NA,NA
1955,"50",NA,NA,NA,NA
1955,"53",NA,NA,NA,NA
1955,"55",NA,NA,NA,NA
1955,"54",NA,NA,NA,NA
1955,"56",NA,NA,NA,NA
1960,"02",NA,NA,NA,NA
1960,"01",NA,NA,NA,NA
1960,"05",NA,NA,NA,NA
1960,"04",NA,NA,NA,NA
1960,"06",NA,NA,NA,NA
1960,"08",NA,NA,NA,NA
1960,"09",NA,NA,NA,NA
1960,"11",NA,NA,NA,NA
1960,"10",NA,NA,NA,NA
1960,"12",NA,NA,NA,NA
1960,"13",NA,NA,NA,NA
1960,"15",NA,NA,NA,NA
1960,"19",NA,NA,NA,NA
1960,"16",NA,NA,NA,NA
1960,"17",NA,NA,NA,NA
1960,"18",NA,NA,NA,NA
1960,"20",NA,NA,NA,NA
1960,"21",NA,NA,NA,NA
1960,"22",NA,NA,NA,NA
1960,"25",NA,NA,NA,NA
1960,"24",NA,NA,NA,NA
1960,"23",NA,NA,NA,NA
1960,"26",NA,NA,NA,NA
1960,"27",NA,NA,NA,NA
1960,"29",NA,NA,NA,NA
1960,"28",NA,NA,NA,NA
1960,"30",NA,NA,NA,NA
1960,"37",NA,NA,NA,NA
1960,"38",NA,NA,NA,NA
1960,"31",NA,NA,NA,NA
1960,"33",NA,NA,NA,NA
1960,"34",NA,NA,NA,NA
1960,"35",NA,NA,NA,NA
1960,"32",NA,NA,NA,NA
1960,"36",NA,NA,NA,NA
1960,"39",NA,NA,NA,NA
1960,"40",NA,NA,NA,NA
1960,"41",NA,NA,NA,NA
1960,"42",NA,NA,NA,NA
1960,"44",NA,NA,NA,NA
1960,"45",NA,NA,NA,NA
1960,"46",NA,NA,NA,NA
1960,"47",NA,NA,NA,NA
1960,"48",NA,NA,NA,NA
1960,"49",NA,NA,NA,NA
1960,"51",NA,NA,NA,NA
1960,"50",NA,NA,NA,NA
1960,"53",NA,NA,NA,NA
1960,"55",NA,NA,NA,NA
1960,"54",NA,NA,NA,NA
1960,"56",NA,NA,NA,NA
1961,"02",NA,NA,NA,NA
1961,"01",NA,NA,NA,NA
1961,"05",NA,NA,NA,NA
1961,"04",NA,NA,NA,NA
1961,"06",NA,NA,NA,NA
1961,"08",NA,NA,NA,NA
1961,"09",NA,NA,NA,NA
1961,"11",NA,NA,NA,NA
1961,"10",NA,NA,NA,NA
1961,"12",NA,NA,NA,NA
1961,"13",NA,NA,NA,NA
1961,"15",NA,NA,NA,NA
1961,"19",NA,NA,NA,NA
1961,"16",NA,NA,NA,NA
1961,"17",NA,NA,NA,NA
1961,"18",NA,NA,NA,NA
1961,"20",NA,NA,NA,NA
1961,"21",NA,NA,NA,NA
1961,"22",NA,NA,NA,NA
1961,"25",NA,NA,NA,NA
1961,"24",NA,NA,NA,NA
1961,"23",NA,NA,NA,NA
1961,"26",NA,NA,NA,NA
1961,"27",NA,NA,NA,NA
1961,"29",NA,NA,NA,NA
1961,"28",NA,NA,NA,NA
1961,"30",NA,NA,NA,NA
1961,"37",NA,NA,NA,NA
1961,"38",NA,NA,NA,NA
1961,"31",NA,NA,NA,NA
1961,"33",NA,NA,NA,NA
1961,"34",NA,NA,NA,NA
1961,"35",NA,NA,NA,NA
1961,"32",NA,NA,NA,NA
1961,"36",NA,NA,NA,NA
1961,"39",NA,NA,NA,NA
1961,"40",NA,NA,NA,NA
1961,"41",NA,NA,NA,NA
1961,"42",NA,NA,NA,NA
1961,"44",NA,NA,NA,NA
